id,nama
1,BKKBN
2,BNPP
3,"Direktorat  Perkotaan, Perumahan, dan Permukiman  Bappenas"
4,"Direktorat Daerah Tertinggal, Transmigrasi dan Perdesaan"
5,"Direktorat Industri, Pariwisata, dan Ekonomi Kreatif Bappenas"
6,Direktorat Kelautan dan Perikanan Bappenas
7,"Direktorat Keluarga, Perempuan, Anak, Pemuda dan Olahraga Bappenas"
8,Direktorat Kesehatan dan Gizi Masyarakat  Bappenas
9,Direktorat Pangan dan Pertanian Bappenas
10,Direktorat Pendidikan dan Agama Bappenas
11,Direktorat Pengairan dan Irigasi Bappenas
12,"Direktorat Perdagangan, Investasi, dan Kerjasama Ekonomi Internasional Bappenas"
13,Direktorat Transportasi Bappenas
14,"Kementerian Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi"
15,Kementerian Kelautan dan Perikanan
16,Kementerian Kesehatan
17,Kementerian Pariwisata
18,Kementerian Pekerjaan Umum dan Perumahan Rakyat
19,Kementerian Pendidikan dan Kebudayaan
20,Kementerian Perdagangan
21,Kementerian Perindustrian
22,Kementerian Pertanian
23,Kementerian PU-Pera
